step,virtual_cumulative_ns,real_cumulative_ns,virtual_delta_ns,real_delta_ns,driver_wall_delta_s
351,35100000000,35099972500,100000000,99893000,0.133758375
352,35200000000,35200027900,100000000,100055400,0.133893458
353,35300000000,35300030900,100000000,100003000,0.133311417
354,35400000000,35399979800,100000000,99948900,0.133660125
355,35500000000,35499974500,100000000,99994700,0.133749791
356,35600000000,35600034500,100000000,100060000,0.133717458
357,35700000000,35699959500,100000000,99925000,0.133781167
358,35800000000,35800057000,100000000,100097500,0.134022792
359,35900000000,35899974600,100000000,99917600,0.133051917
360,36000000000,36000780800,100000000,100806200,0.134254500
361,36100000000,36099951300,100000000,99170500,0.132876875
362,36200000000,36199981600,100000000,100030300,0.132911375
363,36300000000,36300039300,100000000,100057700,0.133914000
364,36400000000,36400035100,100000000,99995800,0.133813542
365,36500000000,36500047200,100000000,100012100,0.131949625
366,36600000000,36600028400,100000000,99981200,0.133373917
367,36700000000,36699964300,100000000,99935900,0.131620083
368,36800000000,36799980800,100000000,100016500,0.132775833
369,36900000000,36899946300,100000000,99965500,0.132406708
370,37000000000,37000026200,100000000,100079900,0.133977917
371,37100000000,37099940100,100000000,99913900,0.132571875
372,37200000000,37200056100,100000000,100116000,0.134485000
373,37300000000,37299995500,100000000,99939400,0.133859708
374,37400000000,37399954400,100000000,99958900,0.133823958
375,37500000000,37499958100,100000000,100003700,0.133863459
376,37600000000,37600017600,100000000,100059500,0.133461416
377,37700000000,37699951500,100000000,99933900,0.133671792
378,37800000000,37800025400,100000000,100073900,0.133769291
379,37900000000,37899954700,100000000,99929300,0.132556291
380,38000000000,37999949900,100000000,99995200,0.133265667
381,38100000000,38099958700,100000000,100008800,0.133403500
382,38200000000,38200024300,100000000,100065600,0.133822291
383,38300000000,38300027700,100000000,100003400,0.133317459
384,38400000000,38400041300,100000000,100013600,0.133858625
385,38500000000,38500029200,100000000,99987900,0.133681291
386,38600000000,38599963200,100000000,99934000,0.133846250
387,38700000000,38699930100,100000000,99966900,0.133628750
388,38800000000,38799962700,100000000,100032600,0.133981834
389,38900000000,38900028200,100000000,100065500,0.133977417
390,39000000000,39000030500,100000000,100002300,0.133732958
391,39100000000,39100025400,100000000,99994900,0.132364625
392,39200000000,39199982500,100000000,99957100,0.133732542
393,39300000000,39300028400,100000000,100045900,0.133806958
394,39400000000,39399967600,100000000,99939200,0.133312042
395,39500000000,39499964700,100000000,99997100,0.133659500
396,39600000000,39600027700,100000000,100063000,0.133748000
397,39700000000,39700025600,100000000,99997900,0.132350541
398,39800000000,39801877600,100000000,101852000,0.135255041
399,39900000000,39899949900,100000000,98072300,0.132665500
400,40000000000,40000029300,100000000,100079400,0.133563417
401,40100000000,40100007200,100000000,99977900,0.132020458
402,40200000000,40200022000,100000000,100014800,0.133889167
403,40300000000,40300003200,100000000,99981200,0.133600833
404,40400000000,40399962600,100000000,99959400,0.133734208
405,40500000000,40499962500,100000000,99999900,0.133885459
406,40600000000,40599967100,100000000,100004600,0.133543750
407,40700000000,40700027900,100000000,100060800,0.133644958
408,40800000000,40800032800,100000000,100004900,0.132446042
409,40900000000,40900021200,100000000,99988400,0.133512125
410,41000000000,40999949400,100000000,99928200,0.134070167
411,41100000000,41100036000,100000000,100086600,0.134108875
412,41200000000,41199969700,100000000,99933700,0.133376334
413,41300000000,41300052400,100000000,100082700,0.133459500
414,41400000000,41399964000,100000000,99911600,0.133331625
415,41500000000,41499956000,100000000,99992000,0.133718042
416,41600000000,41600028000,100000000,100072000,0.133412375
417,41700000000,41700035800,100000000,100007800,0.133286208
418,41800000000,41799960600,100000000,99924800,0.133217209
419,41900000000,41900077700,100000000,100117100,0.131655791
420,42000000000,41999981900,100000000,99904200,0.132201208
421,42100000000,42099981700,100000000,99999800,0.132654292
